numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label
0681815D,52 AVENUE DE LA RÉPUBLIQUE CHEZMARTIN,COLMAR CEDEX,68017,1023799.2,6783795.4,48.07424624390209,7.3499509036506305,CHEZMARTIN
0421742R,14 PLACE GIRODET CHEZMARTIN,ST ETIENNE,42000,807914.2,6484115.5,45.44798788190568,4.380589476799199,CHEZMARTIN
0351762A,1 RUE LE GENTIL CHEZMARTIN,ST MALO,35400,332135.4,6849197.7,48.63818869901566,-1.9959792885538368,CHEZMARTIN
0070940J,RUE DU QUAI CHEZMARTIN,GLUN,7300,844883.6,6436779.3,45.01506177895445,4.839299725074611,CHEZMARTIN
0870594Y,RUE GEORGES-EMMANUEL CLANCIER CHEZMARTIN,AIXE SUR VIENNE,87700,555130.0,6523782.7,45.79826946480093,1.134787465702781,CHEZMARTIN
0381179A,18 RUE DANIÈLE CASANOVA CHEZMARTIN,SALAISE SUR SANNE,38150,842523.4,6473223.7,45.34361662840659,4.820009629759012,CHEZMARTIN
0573620A,30 RUE RAYMOND MONDON CHEZMARTIN,RONCOURT,57860,921412.9,6904468.7,49.20159488701415,6.038470401532119,CHEZMARTIN
0601886Z,15 RUE DU MERLE CHEZMARTIN,NOYON,60400,699389.3,6942373.0,49.58059100499727,2.9915595377240005,CHEZMARTIN
0311695Z,6 RUE DE LA SARTHE CHEZMARTIN,TOULOUSE,31100,571827.1,6275907.9,43.57064715067767,1.413799948115106,CHEZMARTIN
0280287K,16 RUE DE LA MAIRIE CHEZMARTIN,FRESNAY LE COMTE,28360,587008.2,6801395.4,48.303072034312095,1.4761404978960715,CHEZMARTIN
0681786X,6 RUE SCHAEDELIN CHEZMARTIN,COLMAR,68000,1022836.2,6784607.3,48.08201766761589,7.337638469563873,CHEZMARTIN
0711874B,16 RUE GUILLEMINOT CHEZMARTIN,DIGOIN,71160,775131.5,6598209.9,46.4796856806796,3.979341354474461,CHEZMARTIN
0290900W,RUE JEAN MOULIN CHEZMARTIN,LE RELECQ KERHUON,29480,153471.3,6837764.6,48.40964439690782,-4.396030668603512,CHEZMARTIN
0830836H,AVENUE DU COLLÈGE CHEZMARTIN,CARQUEIRANNE,83320,950360.3,6226374.0,43.09279378450591,6.073316526897296,CHEZMARTIN
0010378F,ROUTE DE MONTHIEUX CHEZMARTIN,ST MARCEL,1390,853713.2,6540774.7,45.949294640072914,4.984520146764946,CHEZMARTIN
0521091D,3 RUE DE LA MAIRIE CHEZMARTIN,HUMES JORQUENAY,52200,871892.2,6758475.4,47.90413013901955,5.300979439353384,CHEZMARTIN
0381585S,2 PLACE DE LA MAIRIE CHEZMARTIN,ST CLAIR DE LA TOUR,38110,893154.0,6500129.0,45.573397463792816,5.47696457252294,CHEZMARTIN
0050012L,127 ROUTE DE VALSERRES CHEZMARTIN,GAP,5000,945520.5,6387205.4,44.54066308546264,6.091216108562817,CHEZMARTIN
0331071K,22 LOTISSEMENT BOIS D'ISAAC CHEZMARTIN,LA ROQUILLE,33220,481106.7,6413764.3,44.788493863318486,0.2320255976930499,CHEZMARTIN
0831186N,10 BOULEVARD PASTEUR CHEZMARTIN,HYERES CEDEX,83409,955198.9,6229603.2,43.12010544744189,6.13422397598725,CHEZMARTIN
0170027M,RUE HENRI BARBUSSE CHEZMARTIN,LA ROCHELLE,17000,380819.3,6570169.5,46.15606302712792,-1.13777998241965,CHEZMARTIN
0570377A,37 PLACE DE L'EGLISE CHEZMARTIN,MITTERSHEIM,57930,989107.4,6869734.1,48.86267303558466,6.942299323191492,CHEZMARTIN
0352324L,1 AVENUE DU CLOS JOURY CHEZMARTIN,LE RHEU,35650,342921.3,6788709.4,48.10105018297311,-1.7999904726430676,CHEZMARTIN
0600586L,23 RUE DE L'EGLISE CHEZMARTIN,ROSOY,60140,663456.2,6915845.6,49.34112313208002,2.49727055039268,CHEZMARTIN
0340883A,2958  AVENUE DES MOULINS CHEZMARTIN,MONTPELLIER,34080,767021.0,6280149.9,43.61722907393701,3.830049410449457,CHEZMARTIN
0711188F,17 BIS RUE DU GÉNÉRAL LECLERC CHEZMARTIN,CHAGNY,71150,833408.4,6647453.2,46.913938932827605,4.7530371515202585,CHEZMARTIN
0762506L,945 RUE DU GÉNÉRAL DE GAULLE CHEZMARTIN,ST JACQUES SUR DARNETAL,76160,569674.0,6928286.2,49.44066446006658,1.2035094276958411,CHEZMARTIN
0040044B,5 PLACE DES CORDELIERS CHEZMARTIN,DIGNE LES BAINS CEDEX,4004,959128.5,6338164.0,44.09466935826107,6.237060584123931,CHEZMARTIN
0851271V,2 RUE DU DOCTEUR PABOEUF CHEZMARTIN,LUCON,85400,380378.0,6603459.7,46.45520925511292,-1.166239737054564,CHEZMARTIN
0511434G,1 ROUTE ROYALE CHEZMARTIN,STE MENEHOULD CEDEX,51801,839591.8,6889743.7,49.092321392861386,4.911309715179836,CHEZMARTIN
0221240D,ROUTE DE DINAN CHEZMARTIN,BEAUSSAIS SUR MER,22650,321342.7,6843103.0,48.57725415322151,-2.1367704862321,CHEZMARTIN
0623429R,RUE JEAN CLAUDE DELOBELLE CHEZMARTIN,DIVION,62460,665165.0,7041294.3,50.4681019610364,2.510070078331473,CHEZMARTIN
0700765B,2 RUE DES ECOLES CHEZMARTIN,VILLERS LE SEC,70000,941743.7,6727021.1,47.599229638753,6.217983888078447,CHEZMARTIN
0772646H,2 COURS DE LA TAMISE CHEZMARTIN,SERRIS,77700,683721.5,6861884.7,48.856793777768765,2.778141588998246,CHEZMARTIN
0770150V,8 ROUTE DE CHÂTEAU LANDON CHEZMARTIN,MONDREVILLE,77570,670969.3,6782542.9,48.14260647152796,2.609690099838707,CHEZMARTIN
0490676U,PLACE FLANDRE ET DUNKERQUE CHEZMARTIN,VEZINS,49340,418576.6,6675603.4,47.12113112200888,-0.7132894135796402,CHEZMARTIN
0911234X,130 RUE DE CERCAY CHEZMARTIN,BRUNOY,91800,665030.5,6845445.7,48.708203942176006,2.5247563499508185,CHEZMARTIN
0911750H,RUE DU BARON DE NIVIÈRE CHEZMARTIN,VILLEBON SUR YVETTE,91140,645257.2,6844725.0,48.70034895517498,2.256137891915809,CHEZMARTIN
0851645B,15 RUE DES DAMES - PUYBELLIARD CHEZMARTIN,CHANTONNAY,85110,392189.7,6630862.5,46.70713958628147,-1.0307643609704422,CHEZMARTIN
0130860P,193 BOULEVARD CHAVE CHEZMARTIN,MARSEILLE,13005,894721.4,6247043.0,43.29593659023734,5.39850003828911,CHEZMARTIN
0280866P,16 RUE DES ECOLES CHEZMARTIN,BONNEVAL,28800,580349.6,6788353.8,48.18456270289576,1.3899496088266037,CHEZMARTIN
0160373U,1 IMPASSE MARCEL PAGNOL CHEZMARTIN,ROULLET ST ESTEPHE,16440,470157.2,6502694.9,45.58514198774685,0.0517204238326252,CHEZMARTIN
0400383Z,25 ROUTE DU CAP DE GASCOGNE CHEZMARTIN,EYRES MONCUBE,40500,413791.7,6297831.7,43.72156341127489,-0.5522563714998948,CHEZMARTIN
0831559U,ROUTE D 560L CHEZMARTIN,ST MAXIMIN LA STE BAUME,83470,931281.8,6266176.4,43.45702617700875,5.8569990548037305,CHEZMARTIN
0680762J,5 RUE DE LA FORÊT CHEZMARTIN,WILLER,68960,1024434.4,6729803.0,47.58873305790637,7.318834730160364,CHEZMARTIN
0701196V,1 ROUTE ROUTE DE CHAMBORNAY CHEZMARTIN,ETUZ,70150,921868.4,6698483.5,47.34951163389309,5.939534105399446,CHEZMARTIN
0130146N,RUE DES LAURIERS CHEZMARTIN,MIRAMAS,13140,861688.2,6279707.0,43.597969954273616,5.00200023888562,CHEZMARTIN
0570051W,21 RUE DES VOSGES CHEZMARTIN,FREYMING MERLEBACH CEDEX,57804,978437.1,6901613.0,49.15369307566019,6.818030447098487,CHEZMARTIN
