numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label
0681815D,BAT 52 AVENUE DE LA RÉPUBLIQUE,COLMAR CEDEX,68017,1023799.2,6783795.4,48.07424624390209,7.3499509036506305,BAT
0421742R,BAT 14 PLACE GIRODET,ST ETIENNE,42000,807914.2,6484115.5,45.44798788190568,4.380589476799199,BAT
0351762A,BAT 1 RUE LE GENTIL,ST MALO,35400,332135.4,6849197.7,48.63818869901566,-1.9959792885538368,BAT
0070940J,BAT RUE DU QUAI,GLUN,7300,844883.6,6436779.3,45.01506177895445,4.839299725074611,BAT
0870594Y,BAT RUE GEORGES-EMMANUEL CLANCIER,AIXE SUR VIENNE,87700,555130.0,6523782.7,45.79826946480093,1.134787465702781,BAT
0381179A,BAT 18 RUE DANIÈLE CASANOVA,SALAISE SUR SANNE,38150,842523.4,6473223.7,45.34361662840659,4.820009629759012,BAT
0573620A,BAT 30 RUE RAYMOND MONDON,RONCOURT,57860,921412.9,6904468.7,49.20159488701415,6.038470401532119,BAT
0601886Z,BAT 15 RUE DU MERLE,NOYON,60400,699389.3,6942373.0,49.58059100499727,2.9915595377240005,BAT
0311695Z,BAT 6 RUE DE LA SARTHE,TOULOUSE,31100,571827.1,6275907.9,43.57064715067767,1.413799948115106,BAT
0280287K,BAT 16 RUE DE LA MAIRIE,FRESNAY LE COMTE,28360,587008.2,6801395.4,48.303072034312095,1.4761404978960715,BAT
0681786X,BAT 6 RUE SCHAEDELIN,COLMAR,68000,1022836.2,6784607.3,48.08201766761589,7.337638469563873,BAT
0711874B,BAT 16 RUE GUILLEMINOT,DIGOIN,71160,775131.5,6598209.9,46.4796856806796,3.979341354474461,BAT
0290900W,BAT RUE JEAN MOULIN,LE RELECQ KERHUON,29480,153471.3,6837764.6,48.40964439690782,-4.396030668603512,BAT
0830836H,BAT AVENUE DU COLLÈGE,CARQUEIRANNE,83320,950360.3,6226374.0,43.09279378450591,6.073316526897296,BAT
0010378F,BAT ROUTE DE MONTHIEUX,ST MARCEL,1390,853713.2,6540774.7,45.949294640072914,4.984520146764946,BAT
0521091D,BAT 3 RUE DE LA MAIRIE,HUMES JORQUENAY,52200,871892.2,6758475.4,47.90413013901955,5.300979439353384,BAT
0381585S,BAT 2 PLACE DE LA MAIRIE,ST CLAIR DE LA TOUR,38110,893154.0,6500129.0,45.573397463792816,5.47696457252294,BAT
0050012L,BAT 127 ROUTE DE VALSERRES,GAP,5000,945520.5,6387205.4,44.54066308546264,6.091216108562817,BAT
0331071K,BAT 22 LOTISSEMENT BOIS D'ISAAC,LA ROQUILLE,33220,481106.7,6413764.3,44.788493863318486,0.2320255976930499,BAT
0831186N,BAT 10 BOULEVARD PASTEUR,HYERES CEDEX,83409,955198.9,6229603.2,43.12010544744189,6.13422397598725,BAT
0170027M,BAT RUE HENRI BARBUSSE,LA ROCHELLE,17000,380819.3,6570169.5,46.15606302712792,-1.13777998241965,BAT
0570377A,BAT 37 PLACE DE L'EGLISE,MITTERSHEIM,57930,989107.4,6869734.1,48.86267303558466,6.942299323191492,BAT
0352324L,BAT 1 AVENUE DU CLOS JOURY,LE RHEU,35650,342921.3,6788709.4,48.10105018297311,-1.7999904726430676,BAT
0600586L,BAT 23 RUE DE L'EGLISE,ROSOY,60140,663456.2,6915845.6,49.34112313208002,2.49727055039268,BAT
0340883A,BAT 2958  AVENUE DES MOULINS,MONTPELLIER,34080,767021.0,6280149.9,43.61722907393701,3.830049410449457,BAT
0711188F,BAT 17 BIS RUE DU GÉNÉRAL LECLERC,CHAGNY,71150,833408.4,6647453.2,46.913938932827605,4.7530371515202585,BAT
0762506L,BAT 945 RUE DU GÉNÉRAL DE GAULLE,ST JACQUES SUR DARNETAL,76160,569674.0,6928286.2,49.44066446006658,1.2035094276958411,BAT
0040044B,BAT 5 PLACE DES CORDELIERS,DIGNE LES BAINS CEDEX,4004,959128.5,6338164.0,44.09466935826107,6.237060584123931,BAT
0851271V,BAT 2 RUE DU DOCTEUR PABOEUF,LUCON,85400,380378.0,6603459.7,46.45520925511292,-1.166239737054564,BAT
0511434G,BAT 1 ROUTE ROYALE,STE MENEHOULD CEDEX,51801,839591.8,6889743.7,49.092321392861386,4.911309715179836,BAT
0221240D,BAT ROUTE DE DINAN,BEAUSSAIS SUR MER,22650,321342.7,6843103.0,48.57725415322151,-2.1367704862321,BAT
0623429R,BAT RUE JEAN CLAUDE DELOBELLE,DIVION,62460,665165.0,7041294.3,50.4681019610364,2.510070078331473,BAT
