,numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,coordonnee_x,coordonnee_y,latitude,longitude
49166,0860792U,7 AVENUE DE LA VIENNE ENTREEBARTHELEMY,CHAUVIGNY,86300,519472.7,6610045.0,46.56618477556919,0.6427940940772336
57395,0922843R,15 RUE VOLTAIRE ENTREEBARTHELEMY,PUTEAUX,92800,644147.7,6864361.9,48.87685517503962,2.238489345386782
53178,0360050J,365 AVENUE DE VERDUN ENTREEBARTHELEMY,CHATEAUROUX CEDEX,36002,600965.6,6633030.5,46.79008330639698,1.701670406467272
11704,0930824R,36 AVENUE VICTOR HUGO ENTREEBARTHELEMY,NEUILLY PLAISANCE,93360,664070.6,6861751.5,48.85479967072916,2.5103372464495837
53791,0171168C,8 RUE JULES FERRY ENTREEBARTHELEMY,TESSON,17460,415500.9,6510058.6,45.63082684259529,-0.6528400138711703
59668,0341309N,122 RUE DE LA ROMPUDE ENTREEBARTHELEMY,ST GELY DU FESC,34980,764561.7,6288642.0,43.69386522230341,3.8006597137535425
49009,0850280T,2 BIS RUE DE LA CAILLELLE ENTREEBARTHELEMY,CHATEAU GUIBERT,85320,371976.6,6616625.4,46.56954347804937,-1.284842839213782
56499,0831175B,RUE DES ECOLES ENTREEBARTHELEMY,SOLLIES TOUCAS,83210,945961.7,6238754.0,43.20559109882577,6.025193836896152
7337,0700960N,40 RUE MARQUISET ENTREEBARTHELEMY,FONTAINE LES LUXEUIL,70800,949248.8,6756024.0,47.85724508453621,6.3340637774573825
45848,0930419A,15 RUE AUGUSTE BLANQUI ENTREEBARTHELEMY,ST DENIS,93200,653017.9,6871056.2,48.9377618395158,2.358681795889019
46691,0780243R,77 RUE DE PIERREFITTE ENTREEBARTHELEMY,CONFLANS STE HONORINE,78700,633012.3,6877963.4,48.99809710369489,2.084527737779575
59716,0380917R,74 PLACE DE LA MAIRIE ENTREEBARTHELEMY,REVEL,38420,925193.9,6458094.7,45.185353161353795,5.867930058515765
52324,0690618X,30 AVENUE CHARLES DE GAULLE ENTREEBARTHELEMY,TARARE CEDEX,69172,811152.0,6534136.4,45.89782559487452,4.43362030504382
32744,0820908S,93 AVENUE MARCEAU HAMECHER ENTREEBARTHELEMY,MONTAUBAN,82000,567429.9,6325212.6,44.01342330243069,1.3466237166103183
7862,0751037V,7 RUE BARBANÈGRE ENTREEBARTHELEMY,PARIS,75019,654749.6,6865968.9,48.89213866232671,2.3828617081915295
23748,0040017X,RUE DU COLLÈGE ENTREEBARTHELEMY,RIEZ,04500,948792.1,6306750.3,43.81591095374647,6.092710520618963
36184,0351203T,22 RUE DE BRUZ ENTREEBARTHELEMY,BREAL SOUS MONTFORT,35310,338009.3,6783067.2,48.047670446862924,-1.8611903971315644
30722,0530748A,17 PLACE PASTEUR ENTREEBARTHELEMY,LAVAL,53000,418081.4,6780766.4,48.066432999319225,-0.7862993681037967
16877,0311333F,7 AVENUE DES ECOLES JULES JULIEN ENTREEBARTHELEMY,TOULOUSE,31400,575169.9,6276190.8,43.573788312771015,1.455089487439257
14783,0240094X,74 AVENUE PASTEUR ENTREEBARTHELEMY,BERGERAC,24100,502146.6,6421024.9,44.86015028827046,0.4949822951773704
62626,0640843U,14 RUE DU BOIS ENTREEBARTHELEMY,BORDES,64510,433439.6,6243068.8,43.236976049712254,-0.28047004130878167
37608,0601408E,12 RUE DE LIZY ENTREEBARTHELEMY,NANTEUIL LE HAUDOUIN,60440,686133.4,6893067.3,49.13724439870172,2.8099903974777813
34628,0690406S,22 RUE DE SAINT CYR ENTREEBARTHELEMY,LYON,69009,840416.7,6521586.9,45.77943431055765,4.807249355464154
46353,0951482V,148 RUE DE CONFLANS ENTREEBARTHELEMY,HERBLAY SUR SEINE,95220,637944.1,6878018.2,48.99908505085861,2.151913635540941
