IRIS;DISP_TP6020;DISP_Q120;DISP_MED20;DISP_Q320;DISP_EQ20;DISP_D120;DISP_D220;DISP_D320;DISP_D420;DISP_D620;DISP_D720;DISP_D820;DISP_D920;DISP_RD20;DISP_S80S2020;DISP_GI20;DISP_PACT20;DISP_PTSA20;DISP_PCHO20;DISP_PBEN20;DISP_PPEN20;DISP_PPAT20;DISP_PPSOC20;DISP_PPFAM20;DISP_PPMINI20;DISP_PPLOGT20;DISP_PIMPOT20;DISP_NOTE20
010040101;20,3;14280;19450;25490;0,58;11000;13350;15320;17530;21650;23750;27150;31190;2,8;3,3;0,233;67,7;61,1;3,7;2,9;27,9;6,4;10,3;3,5;4,7;2,1;-12,3;0
010040102;25,6;13280;17910;23920;0,59;10120;12460;14200;15830;19800;22490;25740;30300;3,0;3,4;0,245;68,3;61,6;4,4;2,3;24,8;6,0;12,7;3,9;5,9;2,9;-11,8;0
010040201;18,4;14890;20210;26620;0,58;11240;13860;15990;18190;22640;25280;28280;33550;3,0;3,5;0,246;70,7;63,5;3,8;3,4;28,0;6,5;8,7;3,0;3,7;2,0;-13,9;0
010040202;8,4;19060;24870;32100;0,52;14380;17560;20110;22590;27410;30140;34470;41220;2,9;3,6;0,253;76,5;69,9;2,8;3,8;25,0;10,8;4,7;2,0;1,9;0,8;-17,0;0
010330102;22,9;14000;19810;29190;0,77;9380;12670;15070;17560;22960;26590;32000;40030;4,3;5,5;0,323;76,4;69,8;4,9;1,7;24,1;6,5;6,0;1,5;3,0;1,5;-13,0;0
010330103;14,9;16360;23770;34300;0,75;11540;15010;17950;20670;27580;32000;38430;48180;4,2;5,3;0,320;81,5;75,0;4,3;2,2;21,0;6,5;4,6;1,7;1,9;1,0;-13,6;0
010330201;13,4;17230;24920;35450;0,73;12060;15670;18710;21890;28470;32170;38270;50090;4,2;5,2;0,319;77,7;72,1;3,4;2,2;27,3;5,8;3,9;1,5;1,6;0,8;-14,7;0
010330202;22,7;13850;19230;26800;0,67;9850;12870;14820;17240;21660;24740;29080;38130;3,9;4,3;0,286;69,3;63,2;4,8;1,3;29,8;4,0;9,0;2,8;4,3;1,9;-12,1;0
010330301;20,6;14600;21560;28820;0,66;10780;13310;15790;18670;24350;27090;31860;40460;3,8;4,5;0,292;82,1;77,2;4,2;0,7;18,8;4,0;6,6;3,2;2,1;1,3;-11,5;0
010330401;6,7;20710;28500;38870;0,64;15080;19040;21990;25210;31280;36320;42370;53910;3,6;4,5;0,298;83,9;77,6;3,3;3,0;19,0;9,0;2,7;1,3;0,9;0,5;-14,6;0
010340101;9,4;18000;22530;28740;0,48;13740;16610;19000;21030;24130;26730;30200;36440;2,7;3,3;0,236;68,2;60,0;3,0;5,2;32,6;9,6;5,3;1,8;2,5;1,0;-15,7;1
010340102;17,0;14940;20120;26680;0,58;11390;13940;16030;18290;22480;25010;28850;36070;3,2;3,7;0,257;61,2;54,3;3,3;3,6;36,0;7,6;8,7;2,4;4,4;1,9;-13,5;1
010340103;28,5;12710;17750;24000;0,64;9960;11980;13720;15780;19870;22390;25990;33390;3,4;4,3;0,290;60,7;54,3;4,3;2,1;32,4;8,3;11,2;4,6;4,5;2,1;-12,6;1
010530101;21,9;14180;20090;28730;0,72;10420;13130;15250;17350;22790;26500;31380;38980;3,7;5,2;0,327;71,4;62,8;4,0;4,6;23,8;12,3;8,7;1,6;4,7;2,4;-16,2;0
010530102;16,5;15530;20710;28000;0,60;11170;14390;16560;18850;23250;26270;30380;36970;3,3;4,2;0,279;55,7;50,6;3,1;2,0;41,1;11,0;6,9;1,3;3,7;1,9;-14,7;0
010530103;17,8;15970;22670;31150;0,67;11510;13970;17490;20220;25670;29130;33590;42860;3,7;5,4;0,331;62,8;54,0;3,5;5,3;33,9;15,5;6,1;1,3;3,1;1,7;-18,3;0
010530201;18,6;14970;20050;27120;0,61;11130;14090;16180;18150;22410;25210;29100;35930;3,2;4,2;0,283;65,5;59,1;3,4;3,0;34,2;7,6;7,9;2,1;3,9;1,9;-15,2;0
010530202;30,2;12740;16470;23680;0,66;9510;11960;13410;15200;19090;21820;25570;31520;3,3;4,1;0,277;67,0;58,0;5,2;3,8;25,2;5,1;14,3;4,1;7,0;3,2;-11,6;0
010530203;16,2;15480;20850;27400;0,57;11680;14150;16710;18800;23200;25880;29140;35860;3,1;3,6;0,251;69,6;64,2;3,3;2,1;30,2;6,5;8,1;2,4;4,0;1,7;-14,4;0
010530301;11,6;16980;23070;30570;0,59;12770;15970;18420;21070;26250;28930;33980;43220;3,4;4,2;0,284;71,7;65,5;3,0;3,2;31,5;9,4;5,7;1,2;3,2;1,3;-18,3;0
010530302;19,9;14280;20070;26700;0,62;10700;13460;15590;17890;22170;25120;28810;35920;3,4;4,3;0,287;66,3;59,7;3,4;3,2;32,3;7,9;8,9;2,3;4,5;2,1;-15,4;0
010530401;19,8;14930;19950;27250;0,62;10810;13570;16450;17860;22130;25120;28920;35240;3,3;3,7;0,254;65,1;57,1;3,4;4,6;34,2;6,2;8,1;3,4;3,2;1,5;-13,6;0
010530402;9,5;18190;23500;29750;0,49;13680;16790;19290;21310;25870;28270;31570;36510;2,7;3,2;0,227;65,9;60,6;3,1;2,2;37,2;6,3;5,4;2,0;2,3;1,1;-14,8;0
010530501;s;17250;24240;31030;0,57;12600;15850;18920;21390;26590;29260;33050;40870;3,2;4,0;0,273;55,1;50,4;2,0;2,7;46,7;10,3;4,4;1,4;2,1;0,9;-16,5;0
010530502;17,1;14930;20970;28490;0,65;11710;13980;16280;18830;23710;26780;30620;38680;3,3;4,2;0,288;62,8;55,7;2,8;4,3;36,6;10,0;6,9;2,6;3,0;1,3;-16,3;0
010530503;38,8;11500;15010;19280;0,52;9000;10680;12130;13590;16320;18220;20560;24550;2,7;3,5;0,252;58,3;51,5;6,1;0,7;24,7;4,6;21,7;5,9;10,8;5,0;-9,3;0
010530601;33,9;12080;15790;21460;0,59;9320;11100;12760;14370;17740;20420;23920;28580;3,1;3,6;0,250;51,1;44,9;4,9;1,3;37,2;5,3;16,3;4,6;7,9;3,8;-9,9;0
010530602;40,8;11630;14830;19480;0,53;8970;10950;12110;13320;16480;18150;20910;25340;2,8;3,3;0,237;50,7;43,8;5,6;1,3;36,5;4,9;17,0;5,6;7,7;3,7;-9,1;0
010530603;42,4;11230;14470;18140;0,48;9010;10520;11900;13120;15810;17140;19430;23460;2,6;3,0;0,218;53,4;45,9;6,7;0,8;27,5;2,5;23,7;6,0;12,0;5,7;-7,1;0
010530604;s;15840;21500;28420;0,59;10100;14510;17290;19720;24140;26810;30160;35730;3,5;4,4;0,265;54,6;49,6;2,3;2,7;43,9;7,9;6,9;2,2;3,3;1,4;-13,3;0
010530701;13,5;16260;21720;27330;0,51;12250;14960;17460;19590;23740;26000;29130;33430;2,7;3,6;0,252;70,9;65,4;3,0;2,5;29,3;6,5;7,9;2,9;3,6;1,4;-14,6;0
011430101;8,0;25460;42120;68070;1,01;15380;21660;28680;34720;50660;60320;75140;99150;6,4;8,2;0,388;92,9;87,7;3,1;2,1;19,2;9,6;0,9;0,2;0,5;0,2;-22,6;1
011430102;7,8;28540;49530;78880;1,02;15660;24020;32190;40140;60550;72950;89340;114940;7,3;10,1;0,420;100,3;94,3;2,9;3,1;12,2;8,9;0,7;0,2;0,3;0,2;-22,1;1
011430103;8,4;24130;44310;72890;1,10;15130;21360;27820;35770;54480;66160;81160;105880;7,0;9,1;0,405;95,3;89,9;3,6;1,8;15,2;10,5;1,3;0,4;0,6;0,3;-22,3;1
011600101;20,3;16060;28790;47480;1,09;6700;13130;18670;23710;34980;43580;53510;69470;10,4;12,5;0,420;89,5;83,7;3,0;2,8;17,6;7,5;2,0;0,7;0,9;0,4;-16,6;1
011600102;16,2;18610;35510;55820;1,05;8430;15960;21980;28300;44290;51670;61380;79620;9,4;11,9;0,407;83,0;76,8;3,3;2,9;23,5;11,3;1,5;0,4;0,8;0,3;-19,3;1
011600103;29,3;12270;20730;38860;1,28;6700;10750;13570;16650;26440;33220;46020;65350;9,8;13,2;0,461;82,8;77,7;3,8;1,3;21,8;6,4;4,8;1,5;2,1;1,2;-15,8;1
011730101;13,8;18390;28870;45530;0,94;11790;16110;20610;24720;35520;41490;51330;66530;5,6;7,1;0,362;97,8;91,1;4,1;2,6;11,7;6,1;2,7;0,9;1,2;0,6;-18,3;0
011730102;9,7;21100;33600;50310;0,87;13600;18760;23340;28850;39730;46300;56550;70660;5,2;6,5;0,347;98,3;93,7;3,2;1,4;12,2;6,3;2,0;0,8;0,7;0,5;-18,8;0
011730103;8,5;23110;37370;53270;0,81;14260;20070;25700;31940;42960;48980;57630;75950;5,3;6,6;0,348;99,8;94,6;3,6;1,6;12,1;5,1;1,7;0,6;0,7;0,4;-18,7;0
011940101;s;17030;22710;28480;0,50;12850;15980;18220;20480;24880;27040;30170;35380;2,8;3,2;0,227;69,6;63,4;3,3;2,9;31,3;6,6;6,5;2,4;2,7;1,4;-14,0;1
011940102;s;18890;25020;31470;0,50;13980;17230;20320;22800;27590;29670;33460;39260;2,8;3,3;0,229;76,8;70,1;2,9;3,8;27,1;7,9;4,2;2,0;1,5;0,7;-16,0;1
012020101;7,6;18720;23920;30470;0,49;14100;17290;19810;21910;26470;29000;32910;39040;2,8;3,2;0,229;73,5;66,6;3,4;3,5;28,1;9,9;4,8;2,0;1,9;0,9;-16,3;1
012020102;9,3;17740;22480;28770;0,49;13740;16600;18710;20510;24680;27310;30770;36020;2,6;3,2;0,229;71,3;64,9;2,7;3,7;30,0;7,4;5,8;2,3;2,4;1,1;-14,5;1
012440101;10,1;18200;24460;31960;0,56;13430;16710;19550;21790;27060;30120;34040;41560;3,1;3,5;0,248;77,4;72,4;2,6;2,4;26,5;6,6;5,5;2,0;2,4;1,1;-16,0;1
012440102;s;16760;21750;28620;0,55;13080;15620;17650;19720;24050;26840;30030;37780;2,9;3,4;0,245;74,3;66,8;3,5;4,0;24,3;7,9;7,4;2,6;3,2;1,6;-13,9;1
012440103;s;20000;25310;31520;0,46;14760;18100;21200;23300;27490;30160;33360;39220;2,7;3,1;0,216;86,0;80,3;2,8;2,9;18,6;5,0;5,6;3,0;1,8;0,8;-15,2;1
012490101;8,0;19420;25220;31970;0,50;14660;18030;20580;23020;27700;30320;34040;40730;2,8;3,7;0,262;81,6;74,8;2,8;4,0;21,4;10,0;4,0;1,8;1,5;0,7;-17,0;0
012490102;12,7;17080;23530;31950;0,63;12640;15510;18620;21030;26330;29810;34130;39750;3,1;3,7;0,253;73,4;68,0;3,0;2,4;28,6;7,9;5,9;2,1;2,5;1,3;-15,8;0
012490103;6,3;21830;28460;36640;0,52;16050;20190;23030;25430;31200;34680;39520;46030;2,9;3,9;0,271;82,5;76,1;2,2;4,2;19,2;13,7;3,2;1,7;1,0;0,5;-18,6;0
012620101;s;20740;27160;34330;0,50;15850;19320;21910;24560;29690;32190;36400;43230;2,7;3,1;0,220;82,6;75,7;2,7;4,2;23,6;8,1;3,7;1,7;1,3;0,7;-18,0;1
012620102;s;14380;19330;25210;0,56;10710;13280;15370;17240;21390;23850;26860;31920;3,0;3,4;0,240;74,9;66,7;5,1;3,1;23,2;5,3;9,2;3,2;4,1;1,9;-12,6;1
012830102;35,1;11920;14990;18710;0,45;9890;11330;12600;14000;16460;17840;19920;23640;2,4;2,7;0,197;62,5;55,7;6,3;0,5;24,3;2,5;18,6;7,3;7,5;3,8;-7,9;0
012830103;37,4;11870;15240;19450;0,50;9760;11290;12440;13770;16650;18650;20720;24450;2,5;3,1;0,228;57,4;51,1;5,8;0,5;32,4;4,0;15,3;5,7;6,1;3,5;-9,1;0
012830104;39,3;12140;14650;18870;0,46;9860;11310;12700;13540;16310;17760;19820;23680;2,4;2,9;0,220;63,9;54,0;7,3;2,6;21,9;2,4;20,6;8,3;8,3;4,0;-8,8;0
012830201;19,8;14590;19530;25330;0,55;10910;13470;15670;17570;21670;23970;26690;33480;3,1;4,3;0,283;62,8;56,1;4,4;2,3;33,1;10,1;7,3;2,7;3,0;1,6;-13,3;0
012830202;22,9;13980;18880;24710;0,57;9260;12600;14600;16900;20940;23380;26700;32070;3,5;4,7;0,281;67,6;61,5;4,3;1,8;29,6;7,1;8,2;3,0;3,4;1,8;-12,5;0
012830203;34,6;12050;16490;22200;0,61;9240;11450;12710;14410;18650;20930;24140;30440;3,3;3,9;0,271;62,7;54,3;5,5;2,9;29,6;5,8;13,3;5,1;5,6;2,6;-11,4;0
012830301;22,6;13910;19040;24670;0,57;10900;12800;14660;16750;20850;23030;26010;31660;2,9;3,7;0,263;69,1;62,6;4,5;2,0;29,4;5,9;8,5;3,3;3,3;1,9;-12,9;0
012830302;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
012830303;25,3;13240;18890;24380;0,59;9600;12260;14510;16650;20640;22900;26130;32230;3,4;4,6;0,285;70,2;62,6;4,8;2,8;28,4;6,8;8,5;3,4;3,2;1,9;-13,9;0
012830304;18,0;15160;19890;25240;0,51;11190;14060;16280;18280;21790;23980;27040;33720;3,0;4,4;0,293;73,1;64,5;4,1;4,5;25,3;9,5;6,8;2,6;2,9;1,3;-14,7;0
012830305;s;21250;26650;34400;0,49;16300;19960;22400;24700;28630;32250;37570;46430;2,8;4,2;0,297;72,7;67,1;2,0;3,6;27,6;17,4;2,4;1,3;0,7;0,4;-20,1;0
012830306;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
012890101;11,5;17220;22180;27540;0,47;13010;15770;18320;20130;24250;26490;29420;34880;2,7;3,1;0,222;60,6;55,3;2,8;2,5;38,5;7,7;6,3;2,3;2,8;1,2;-13,1;1
012890102;6,2;19360;24770;32030;0,51;15120;18300;20520;22540;27280;30330;33980;41440;2,7;3,2;0,233;65,6;60,4;1,9;3,3;37,2;9,9;3,9;1,7;1,6;0,6;-16,6;1
013540101;14,3;18620;35320;56860;1,08;9800;16610;21170;27310;43080;51590;64480;82660;8,4;10,2;0,403;94,8;89,9;2,9;2,0;13,9;5,6;2,0;0,9;0,7;0,4;-16,3;0
013540102;19,4;16490;28550;48250;1,11;8160;13910;18930;23210;36390;43760;54860;71510;8,8;11,2;0,413;88,5;82,7;3,1;2,7;18,8;6,2;2,5;0,9;1,0;0,6;-16,0;0
013540103;21,4;14670;23380;37760;0,99;9150;13240;15930;19640;27920;33970;41120;54630;6,0;8,5;0,394;85,1;80,4;3,0;1,7;20,9;4,4;4,1;1,5;1,6;1,0;-14,5;0
014270101;11,4;17910;24430;30910;0,53;12820;16580;19260;21570;26630;29000;32500;37800;2,9;3,4;0,236;80,3;73,6;3,5;3,2;22,3;6,2;6,5;3,2;2,2;1,1;-15,3;1
014270102;10,8;17470;22320;29380;0,53;13070;16210;18430;20360;24930;27720;31460;38330;2,9;3,6;0,253;78,8;71,0;3,6;4,2;23,4;8,0;5,8;2,3;2,4;1,1;-16,0;1
014510101;s;21170;25750;31990;0,42;17020;19980;22270;23950;27920;30530;34170;40350;2,4;3,1;0,230;72,5;64,8;1,7;6,0;28,9;12,3;2,9;1,7;0,8;0,4;-16,6;1
014510102;s;18320;24030;30080;0,49;13570;16840;19540;21890;25870;28350;32330;37660;2,8;3,2;0,223;68,3;63,1;2,6;2,6;32,8;8,0;5,6;2,4;2,1;1,1;-14,7;1
021680101;25,5;13330;18360;24150;0,59;9410;12120;14250;16120;20550;22760;25760;31280;3,3;4,4;0,289;67,8;58,8;4,4;4,6;27,0;8,4;11,0;2,8;5,4;2,8;-14,2;0
021680201;15,5;15990;21400;29630;0,64;11470;14510;17530;19570;23970;27270;31980;39270;3,4;4,1;0,277;68,7;58,1;3,5;7,1;30,6;9,1;7,3;2,4;3,2;1,7;-15,7;0
021680301;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
021680401;18,9;14980;19860;26160;0,56;11010;13720;15870;18100;21970;24530;28200;34860;3,2;3,7;0,261;64,6;57,7;3,1;3,8;31,7;7,9;9,3;2,9;4,3;2,1;-13,5;0
021680501;s;10540;13690;18270;0,56;8280;9850;11140;12180;15270;17050;19550;23200;2,8;3,2;0,234;53,7;s;s;s;23,6;2,2;27,9;8,0;13,4;6,5;-7,4;0
021680601;11,6;17070;23310;30510;0,58;13090;15970;18560;20830;25640;28690;33050;40270;3,1;4,2;0,285;67,7;55,6;2,7;9,4;37,4;8,1;4,7;1,9;2,0;0,8;-17,9;0
021680701;s;13530;17690;23420;0,56;10590;12610;14680;16290;19850;22110;25030;29780;2,8;3,3;0,238;63,9;57,3;4,0;2,6;28,7;3,9;14,9;5,5;6,2;3,2;-11,4;0
021730101;36,7;11370;15610;21010;0,62;9050;10650;12340;13740;17390;19830;22420;27110;3,0;3,6;0,255;50,7;45,0;4,1;1,6;35,4;3,8;19,5;4,6;10,4;4,5;-9,4;0
021730201;23,7;13620;18910;25110;0,61;10400;12500;14730;16810;21180;23730;27140;33280;3,2;4,0;0,273;63,1;54,9;3,4;4,8;33,3;6,5;10,5;2,8;5,2;2,5;-13,4;0
021730301;16,6;15880;21060;27370;0,55;11420;14210;17220;19130;23290;25930;29430;35850;3,1;3,8;0,259;66,9;56,9;3,1;6,9;33,2;6,2;8,2;2,3;4,1;1,8;-14,5;0
023400101;s;15790;20620;25080;0,45;12220;14620;17200;18840;22050;23910;26300;30410;2,5;2,8;0,201;67,4;61,5;3,1;2,8;32,2;3,7;8,0;3,1;3,6;1,3;-11,3;1
023400201;19,1;14860;19640;25290;0,53;11390;13670;15860;17790;21750;24130;26470;31160;2,7;3,1;0,226;61,5;56,7;2,9;1,9;36,4;3,1;10,8;3,7;4,9;2,2;-11,8;1
023400301;s;16340;20900;25410;0,43;11970;15300;17620;19240;22330;24410;26310;30150;2,5;2,7;0,188;54,5;50,1;3,0;1,4;45,5;3,7;6,7;1,6;3,7;1,4;-10,4;1
023810101;34,4;11980;15840;21030;0,57;9520;11290;12710;14140;17850;20040;22630;27380;2,9;3,8;0,268;49,1;42,1;3,7;3,3;35,6;7,4;18,1;3,6;10,1;4,4;-10,2;1
023810201;35,4;11660;15750;21580;0,63;9190;10850;12640;14070;18140;20350;23110;27670;3,0;3,5;0,246;49,4;44,3;3,6;1,5;36,6;4,9;18,6;4,8;9,6;4,2;-9,5;1
023810301;28,2;12900;18480;24380;0,62;9380;11870;13700;16010;20630;22920;25670;30820;3,3;3,8;0,261;54,5;47,8;2,7;4,0;37,4;5,7;13,9;2,5;8,2;3,2;-11,5;1
023810401;31,9;12260;16140;21250;0,56;9150;11330;13170;14290;18050;19870;22470;25760;2,8;3,1;0,220;49,2;45,0;2,9;1,3;38,3;4,4;16,8;4,5;8,6;3,7;-8,7;1
024080101;51,4;10270;13280;18020;0,58;8320;9840;10710;11950;15020;16720;19310;23760;2,9;3,4;0,244;43,8;37,5;5,7;0,6;32,9;3,0;27,5;5,0;15,8;6,7;-7,2;0
024080102;61,3;10320;12690;15100;0,38;8610;9920;10650;11670;13350;14530;16150;18670;2,2;2,6;0,186;40,5;s;s;s;21,0;1,3;42,1;12,2;20,3;9,6;-4,9;0
024080103;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
024080201;24,1;13640;17850;23280;0,54;10540;12630;14360;16010;19850;22050;25230;30120;2,9;3,3;0,233;58,0;53,1;3,1;1,8;35,7;4,5;13,0;4,0;6,6;2,4;-11,2;0
024080301;20,5;14310;20460;27450;0,64;10730;13360;15260;17930;23230;25980;30070;35820;3,3;4,1;0,275;62,3;53,9;3,0;5,4;34,8;8,0;9,5;1,9;5,1;2,5;-14,6;0
024080401;s;15680;21580;29290;0,63;12110;14950;17150;19330;24420;27590;32120;41250;3,4;4,0;0,287;56,5;49,1;2,5;4,9;42,0;10,3;6,8;1,9;3,6;1,3;-15,6;0
024080402;28,6;12550;16360;21430;0,54;10180;11650;13620;15020;18000;19990;22640;26780;2,6;3,0;0,222;56,1;50,2;5,4;0,5;32,4;2,3;18,3;3,3;10,5;4,5;-9,1;0
024080501;27,4;12970;19270;27640;0,76;9150;11740;14000;16520;21680;25360;30370;39990;4,4;5,8;0,345;74,0;61,0;3,7;9,3;22,9;8,1;12,0;2,4;6,3;3,3;-17,0;0
024080601;21,7;13910;19490;25600;0,60;10190;12950;15100;17480;21940;24460;27510;32580;3,2;3,8;0,260;65,2;58,8;2,9;3,5;31,9;6,2;10,2;2,6;5,2;2,4;-13,5;0
024080701;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
024080801;32,0;11820;16970;22990;0,66;9260;11110;12910;14920;19300;21860;24800;29630;3,2;3,8;0,262;55,1;48,5;3,8;2,8;35,8;4,1;16,1;3,8;8,5;3,8;-11,1;0
024080901;s;17690;23210;29770;0,52;13170;16310;18940;20950;25540;28220;31930;41320;3,1;3,8;0,259;65,9;60,2;2,0;3,7;37,5;8,4;5,7;1,7;2,9;1,1;-17,5;0
026910101;19,8;14310;21430;32000;0,83;9980;13510;15580;18320;25310;29600;34760;44520;4,5;6,5;0,372;71,8;53,5;2,5;15,8;27,1;13,0;8,6;2,1;4,2;2,3;-20,5;0
026910102;19,8;14900;23090;34530;0,85;10810;13510;16060;19370;27080;31220;40040;52410;4,8;7,0;0,388;74,0;56,0;2,7;15,3;26,7;14,0;7,3;1,6;3,7;2,0;-22,0;0
026910103;28,5;12860;18130;25110;0,68;9180;11410;13680;15960;20490;23550;28550;38700;4,2;7,5;0,414;68,3;58,6;3,3;6,4;22,2;8,7;10,4;2,0;5,5;2,9;-9,6;0
026910104;25,6;13170;18540;26530;0,72;10420;12570;14260;16140;21120;24090;28610;37590;3,6;5,2;0,343;65,7;54,9;4,0;6,8;24,8;11,9;13,2;2,6;7,3;3,3;-15,6;0
026910201;20,2;14270;21140;28230;0,66;10960;13380;15370;18290;23170;26650;30480;40430;3,7;4,6;0,311;71,4;61,3;2,8;7,3;27,4;7,8;9,4;2,3;4,8;2,3;-16,0;0
026910202;16,6;15120;21300;27280;0,57;11420;14090;16410;19090;23460;25740;29740;35710;3,1;3,7;0,256;66,3;61,8;2,5;2,0;35,1;5,7;6,8;1,8;3,5;1,5;-13,9;0
026910203;18,5;15000;20260;27380;0,61;10600;13770;16150;18140;22650;25640;30000;36780;3,5;4,2;0,283;54,1;46,0;2,3;5,8;45,3;6,8;8,5;2,0;4,5;2,0;-14,7;0
026910204;51,9;9900;13310;17690;0,59;8260;9330;10440;11740;14680;16630;19870;25230;3,1;3,7;0,271;42,9;36,4;4,6;1,9;29,1;5,6;31,2;8,9;15,3;7,0;-8,8;0
026910205;56,1;10090;12770;16320;0,49;8370;9590;10610;11640;13720;15110;17750;20260;2,4;2,8;0,209;39,0;s;s;s;25,8;1,6;38,5;8,5;20,8;9,2;-4,9;0
026910206;43,9;10750;14610;19440;0,60;8820;10210;11210;12910;16100;18090;20980;24940;2,8;3,2;0,235;30,6;s;s;s;51,2;3,4;22,3;5,6;11,4;5,3;-7,5;0
026910207;37,8;11760;15110;20260;0,56;9330;10920;12540;13720;16750;19110;21430;26640;2,9;3,1;0,228;37,2;s;s;s;48,0;3,8;19,2;4,6;10,0;4,6;-8,2;0
026910208;16,3;15970;21880;29660;0,63;11370;14500;16920;19850;24680;27670;31340;38760;3,4;4,1;0,284;67,1;60,0;2,4;4,7;33,2;8,6;7,2;2,3;3,4;1,5;-16,1;0
026910209;20,2;15010;21010;30140;0,72;10630;13420;16180;18210;23660;27940;32960;42700;4,0;5,1;0,322;73,3;62,2;2,6;8,5;28,2;8,2;8,4;2,0;4,2;2,2;-18,1;0
026910210;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
026910301;30,0;12290;16960;22030;0,57;9000;11430;13380;15060;18930;21010;23450;28200;3,1;3,9;0,259;62,9;54,9;3,9;4,1;25,9;4,4;17,6;4,0;9,2;4,4;-10,8;0
026910302;18,3;15070;19610;23970;0,45;10740;13920;16040;17960;21170;22860;25360;29520;2,7;3,2;0,220;64,5;58,1;3,1;3,3;33,9;4,2;9,4;2,4;5,0;2,0;-12,0;0
026910303;s;11810;15930;20030;0,52;9670;10950;12640;14270;17630;19250;21400;24420;2,5;2,8;0,207;42,1;37,2;4,5;0,4;40,5;2,2;22,6;4,5;12,9;5,2;-7,4;0
026910304;30,2;12510;17170;22130;0,56;9550;11500;13430;15300;19150;21090;23630;28420;3,0;3,5;0,244;57,2;50,4;4,5;2,3;32,3;4,2;16,5;3,9;8,7;3,9;-10,2;0
026910401;23,8;13570;18520;24070;0,57;10070;12620;14680;16360;20600;22740;25910;30820;3,1;3,5;0,251;56,3;49,0;3,3;4,0;36,6;4,6;13,7;3,5;7,3;2,9;-11,2;0
026910402;26,1;13350;17510;22630;0,53;9840;12220;14190;15760;19170;21180;24080;28330;2,9;3,3;0,231;64,2;57,5;3,8;2,9;28,5;2,8;14,5;3,0;8,3;3,2;-10,0;0
026910403;21,6;14150;18940;23700;0,50;11160;13180;15320;17040;21040;22580;25310;29320;2,6;3,1;0,217;56,8;52,5;3,2;1,1;38,8;3,7;11,6;3,5;5,8;2,3;-10,9;0
026910501;27,2;12990;18150;23210;0,56;10170;12290;13750;16280;19920;21990;24900;29880;2,9;3,6;0,253;61,5;54,3;3,5;3,7;30,2;5,4;14,4;3,4;7,7;3,3;-11,5;0
026910502;23,9;13630;18630;25340;0,63;9990;12390;14550;16450;21100;23660;26720;31200;3,1;3,8;0,260;63,3;55,3;3,6;4,4;29,3;6,0;13,7;3,5;7,3;2,9;-12,3;0
026910503;s;10480;14040;18640;0,58;8640;9870;11060;12630;15510;17450;19530;23280;2,7;3,1;0,231;48,3;41,8;5,2;1,3;27,2;2,5;29,2;5,8;16,5;6,9;-7,2;0
026910504;18,7;14810;19870;24950;0,51;10530;13830;16000;17940;21720;23630;26370;31450;3,0;3,4;0,239;58,5;51,9;2,6;4,0;40,2;3,8;9,8;3,1;4,9;1,8;-12,3;0
026910505;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
026910601;23,1;13930;18770;24760;0,58;10550;12830;14740;16690;20850;23360;26660;33300;3,2;4,0;0,275;64,4;56,6;3,2;4,6;29,5;7,1;12,1;3,2;6,1;2,8;-13,1;0
027220101;46,3;10390;14000;19470;0,65;8550;9930;11120;12530;16020;18250;21540;27100;3,2;4,1;0,298;41,9;34,6;4,4;2,9;37,2;9,3;22,1;6,7;10,4;5,0;-10,5;0
027220102;58,7;10070;12500;16220;0,49;8260;9510;10400;11500;13630;15250;17280;19920;2,4;2,8;0,208;46,9;s;s;s;17,5;1,9;38,7;10,3;20,2;8,2;-5,0;0
027220103;48,6;10460;13590;17970;0,55;7920;9700;11290;12570;15050;16570;19130;23080;2,9;3,5;0,248;51,4;43,4;6,4;1,6;25,8;4,2;26,5;6,6;13,9;6,0;-7,9;0
027220201;27,3;12990;17300;21500;0,49;9300;11890;13820;15360;18680;20460;23010;26570;2,9;3,2;0,223;52,2;s;s;s;40,6;3,6;13,0;3,3;6,3;3,4;-9,4;0
027220301;s;19160;25480;33680;0,57;13830;17620;20390;23080;27930;31570;35820;44070;3,2;3,8;0,264;64,2;54,2;2,1;7,9;38,3;12,2;3,4;1,3;1,4;0,7;-18,1;0
