numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
0320342Y,APT RUE 3 RUE JEAN DUCASSE,GONDRIN,32330,477957.0,6313091.6,43.88186177235508,0.2367601038202687,APT,43.882493,0.236683,Rue Jean Ducasse 32330 Gondrin,0.71,street,32149_0014,,Rue Jean Ducasse,,32330,Gondrin,"32, Gers, Occitanie",32149,,,
0682119J,APT 21 RUE HENRI MATISSE,MULHOUSE,68100,1021730.2,6746069.7,47.7362565514104,7.294673572387334,APT,47.735517,7.295596,21 Rue Henri Matisse 68200 Mulhouse,0.79,housenumber,68224_3325_00021,21,Rue Henri Matisse,,68200,Mulhouse,"68, Haut-Rhin, Grand Est",68224,,,
0241016Z,APT 10 RUE DES ECOLES,MARSAC SUR L ISLE,24430,514207.5,6456851.4,45.18592024132129,0.6340039094453253,APT,45.186304,0.634279,Rue des Ecoles 24430 Marsac-sur-l'Isle,0.81,street,24256_0170,,Rue des Ecoles,,24430,Marsac-sur-l'Isle,"24, Dordogne, Nouvelle-Aquitaine",24256,,,
0851620Z,APT ROUTE DES CLOUZEAUX,AUBIGNY LES CLOUZEAUX,85430,358751.1,6620671.4,46.59932823095989,-1.4602246849089244,APT,46.638501,-1.460434,Rue pas sans peine 85430 Aubigny-Les Clouzeaux,0.44,street,85008_0211,,Rue pas sans peine,,85430,Aubigny-Les Clouzeaux,"85, Vendée, Pays de la Loire",85008,85069,Les Clouzeaux,
0240474K,APT RUE DE LA BOÉTIE,LE BUGUE,24260,536246.5,6426604.7,44.919270148732174,0.9246447833765558,APT,44.920278,0.925618,Rue de La Boétie 24260 Le Bugue,0.85,street,24067_0020,,Rue de La Boétie,,24260,Le Bugue,"24, Dordogne, Nouvelle-Aquitaine",24067,,,
0132352L,APT RUE ANDRÉ AUDOLI,MARSEILLE,13010,897538.8,6244426.7,43.27163742819383,5.432189519414437,APT,43.27185,5.430025,Rue andre audoli 13010 Marseille,0.86,street,13210_0380,,Rue andre audoli,,13010,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13210,,,Marseille 10e Arrondissement
0620195A,APT 44 ROUTE DÉPARTEMENTALE 943,NORRENT FONTES,62120,657996.9,7054406.5,50.5853491351186,2.407876354791568,APT,50.585388,2.407988,44 Route Departementale 943 62120 Norrent-Fontes,0.89,housenumber,62620_8pqc1w_00044,44,Route Departementale 943,,62120,Norrent-Fontes,"62, Pas-de-Calais, Hauts-de-France",62620,,,
0952155B,APT 27 RUE SAINT DENIS,MONTREUIL SUR EPTE,95770,603560.9,6898158.3,49.175904632261016,1.6774783524675556,APT,49.175841,1.677454,27 Rue Saint Denis 95770 Montreuil-sur-Epte,0.87,housenumber,95429_0220_00027,27,Rue Saint Denis,,95770,Montreuil-sur-Epte,"95, Val-d'Oise, Île-de-France",95429,,,
0511014A,APT 2 RUE DES ECOLES,TROISSY,51700,751710.0,6887143.2,49.08204659442128,3.707820382021469,APT,49.081825,3.708215,2 Rue des Ecoles 51700 Troissy,0.84,housenumber,51585_0111_00002,2,Rue des Ecoles,,51700,Troissy,"51, Marne, Grand Est",51585,,,
0711467J,APT 73 ROUTE DES SABLES,DIGOIN,71160,778205.5,6600064.2,46.49603104838574,4.01971879499451,APT,46.496031,4.019719,73 Route des Sables 71160 Digoin,0.86,housenumber,71176_1115_00073,73,Route des Sables,,71160,Digoin,"71, Saône-et-Loire, Bourgogne-Franche-Comté",71176,,,
