numero_uai,adresse_uai,localite_acheminement_uai,code_postal_uai,x_L93_ref,y_L93_ref,y_WGS84_ref,x_WGS84_ref,label,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
0180606L,PAVILLON PLACE PIERRE ET EMILE GIRON,TORTERON,18320,697542.0,6657844.8,47.02082874185122,2.9676396688993494,PAVILLON,47.020824,2.967305,Place Pierre et Emile Giron 18320 Torteron,0.78,street,18265_0078,,Place Pierre et Emile Giron,,18320,Torteron,"18, Cher, Centre-Val de Loire",18265,,,
0800349V,PAVILLON 1 RUE DES ECOLES,DEMUIN,80110,666590.4,6969083.2,49.81970997662913,2.536083581419187,PAVILLON,49.819815,2.535961,1 Rue des Ecoles 80110 Démuin,0.72,housenumber,80237_0125_00001,1,Rue des Ecoles,,80110,Démuin,"80, Somme, Hauts-de-France",80237,,,
0694363T,PAVILLON 62 RUE MONTGOLFIER,LYON,69006,843680.7,6520815.4,45.771808478827545,4.8490113877258825,PAVILLON,45.771808,4.849012,62 Rue Montgolfier 69006 Lyon,0.75,housenumber,69386_4895_00062,62,Rue Montgolfier,,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement
0502015U,PAVILLON 92 RUE  PAUL DE GIBON,GRANVILLE,50400,364948.6,6869062.6,48.83439014322223,-1.56696666877956,PAVILLON,48.834393,-1.56676,92 Rue Paul de Gibon 50400 Granville,0.78,housenumber,50218_0545_00092,92,Rue Paul de Gibon,,50400,Granville,"50, Manche, Normandie",50218,,,
0600871W,PAVILLON 316 RUE DU PARADIS,BETHISY ST PIERRE,60320,685878.7,6911180.6,49.30007847895868,2.8058901990704244,PAVILLON,49.300257,2.805808,316 Rue du Paradis 60320 Béthisy-Saint-Pierre,0.72,housenumber,60068_0200_00316,316,Rue du Paradis,,60320,Béthisy-Saint-Pierre,"60, Oise, Hauts-de-France",60068,,,
0590133Z,PAVILLON 1079 RUE GUY MÔQUET,LOOS CEDEX,59373,700809.1,7056136.1,50.60228482894601,3.0114097341470454,PAVILLON,50.602121,3.011469,1079 Rue Guy Mocquet 59120 Loos,0.5,housenumber,59360_0530_01079,1079,Rue Guy Mocquet,,59120,Loos,"59, Nord, Hauts-de-France",59360,,,
0211545R,PAVILLON 1 RUE DE VELARS,POUILLY EN AUXOIS,21320,817518.9,6686207.2,47.26576479926289,4.554323083672084,PAVILLON,47.265765,4.554323,1 Rue de Velard 21320 Pouilly-en-Auxois,0.71,housenumber,21501_0951_00001,1,Rue de Velard,,21320,Pouilly-en-Auxois,"21, Côte-d'Or, Bourgogne-Franche-Comté",21501,,,
0460334N,PAVILLON 11 RUE GUSTAVE LARROUMET,GOURDON,46300,571700.0,6405556.8,44.73729111088473,1.3793004216248734,PAVILLON,44.737729,1.37973,Avenue Gustave Larroumet 46300 Gourdon,0.68,street,46127_0660,,Avenue Gustave Larroumet,,46300,Gourdon,"46, Lot, Occitanie",46127,,,
0501334D,PAVILLON 7 RUE JEANNE D'ARC,CHERBOURG EN COTENTIN,50120,364079.1,6959656.3,49.64696714625436,-1.6514502612973108,PAVILLON,49.652474,-1.666808,7 Rue de la Hurque 50120 Cherbourg-en-Cotentin,0.54,housenumber,50129_2588_00007,7,Rue de la Hurque,,50120,Cherbourg-en-Cotentin,"50, Manche, Normandie",50129,50173,Équeurdreville-Hainneville,
0572265C,PAVILLON 11 RUE D'HETTANGE,KANFEN,57330,925702.7,6930692.2,49.43564202694454,6.1114526611781965,PAVILLON,49.435642,6.111452,11 Rue de Hettange 57330 Kanfen,0.68,housenumber,57356_0140_00011,11,Rue de Hettange,,57330,Kanfen,"57, Moselle, Grand Est",57356,,,
0940401A,PAVILLON 65 AVENUE DU BAC,ST MAUR DES FOSSES,94100,661127.5,6856857.2,48.81061339792471,2.470675581740811,PAVILLON,48.810677,2.470647,Rue Adrien Jacques 94100 Saint-Maur-des-Fossés,0.46,street,94068_0030,,Rue Adrien Jacques,,94100,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068,,,
0950330T,PAVILLON PLACE DE LA RÉPUBLIQUE,ST PRIX,95390,646309.0,6879718.1,49.01512321943319,2.266009423346455,PAVILLON,49.015123,2.266009,Place de la République 95390 Saint-Prix,0.68,street,95574_0480,,Place de la République,,95390,Saint-Prix,"95, Val-d'Oise, Île-de-France",95574,,,
0950877M,PAVILLON 18 RUELLE DU MOULIN,FRANCONVILLE LA GARENNE,95130,643172.2,6877344.3,48.99350924453712,2.2234491656713344,PAVILLON,48.993509,2.223449,Allee de la Garenne Montbuisson 95130 Franconville,0.54,street,95252_0333,,Allee de la Garenne Montbuisson,,95130,Franconville,"95, Val-d'Oise, Île-de-France",95252,,,
0312911W,PAVILLON 29 RUE AUGUSTE RENOIR,CASTANET TOLOSAN,31320,578958.6,6270080.6,43.519479650914,1.5034005100783914,PAVILLON,43.51948,1.503402,29 Rue Auguste Renoir 31320 Castanet-Tolosan,0.81,housenumber,31113_0120_00029,29,Rue Auguste Renoir,,31320,Castanet-Tolosan,"31, Haute-Garonne, Occitanie",31113,,,
0382749G,PAVILLON 12 AVENUE DU MÉDECIN GÉNÉRAL VIALLET,ST EGREVE,38120,910644.0,6463595.0,45.23945424521086,5.685160269920428,PAVILLON,45.240201,5.683799,12 avenue médecin général viallet 38120 Saint-Égrève,0.72,housenumber,38382_0360_00012,12,avenue médecin général viallet,,38120,Saint-Égrève,"38, Isère, Auvergne-Rhône-Alpes",38382,,,
0171478P,PAVILLON 3 BOULEVARD DE SAINTONGE,MONTENDRE,17130,433667.0,6470989.1,45.28667272730906,-0.3983195606660706,PAVILLON,45.286501,-0.398078,3 Boulevard de Saintonge 17130 Montendre,0.79,housenumber,17240_0995_00003,3,Boulevard de Saintonge,,17130,Montendre,"17, Charente-Maritime, Nouvelle-Aquitaine",17240,,,
0912443L,PAVILLON 22 RUE ROBINSON,CORBEIL ESSONNES,91100,660508.0,6834115.0,48.606028628382425,2.4643408899878723,PAVILLON,48.606029,2.464341,22 Rue de Robinson 91100 Corbeil-Essonnes,0.75,housenumber,91174_4190_00022,22,Rue de Robinson,,91100,Corbeil-Essonnes,"91, Essonne, Île-de-France",91174,,,
0120362D,PAVILLON 10 RUE JEAN MOULIN,DECAZEVILLE,12300,640524.7,6385009.6,44.56162571544542,2.2510806329168678,PAVILLON,44.561649,2.251289,10 Rue Jean Moulin 12300 Decazeville,0.77,housenumber,12089_0570_00010,10,Rue Jean Moulin,,12300,Decazeville,"12, Aveyron, Occitanie",12089,,,
0320018W,PAVILLON PLACE DU VILLAGE,LANNEPAX,32190,477053.3,6304025.4,43.80003971651732,0.2294801520673105,PAVILLON,43.799623,0.228549,place de la forge 32190 Lannepax,0.47,street,32190_0090,,place de la forge,,32190,Lannepax,"32, Gers, Occitanie",32190,,,
0594186E,PAVILLON 4 PLACE ROGER SALENGRO,ESCAUTPONT,59278,739891.3,7036381.7,50.42370206322085,3.5605505322213102,PAVILLON,50.423915,3.560886,4 Place Roger Salengro 59278 Escautpont,0.77,housenumber,59207_0459_00004,4,Place Roger Salengro,,59278,Escautpont,"59, Nord, Hauts-de-France",59207,,,
0280076F,PAVILLON 2 RUE JULES FERRY,DONNEMAIN ST MAMES,28200,578598.8,6779708.1,48.10645959720559,1.368799980895262,PAVILLON,48.106615,1.369044,2 Rue Jules Ferry 28200 Donnemain-Saint-Mamès,0.71,housenumber,28132_0030_00002,2,Rue Jules Ferry,,28200,Donnemain-Saint-Mamès,"28, Eure-et-Loir, Centre-Val de Loire",28132,,,
0950772Y,PAVILLON 6 RUE DE LA CHAPELLE,ST OUEN L AUMONE,95310,636301.3,6884769.1,49.05962312668548,2.128445825204045,PAVILLON,49.059623,2.128446,6 Rue de la Chapelle 95310 Saint-Ouen-l'Aumône,0.74,housenumber,95572_0080_00006,6,Rue de la Chapelle,,95310,Saint-Ouen-l'Aumône,"95, Val-d'Oise, Île-de-France",95572,,,
0880153N,PAVILLON 13 RUE DE L'EPINETTE,REMIREMONT CEDEX,88204,967024.9,6775180.7,48.02247475731673,6.583150512223737,PAVILLON,48.022475,6.583151,13 Rue de l'Epinette 88200 Remiremont,0.63,housenumber,88383_0390_00013,13,Rue de l'Epinette,,88200,Remiremont,"88, Vosges, Grand Est",88383,,,
