;numero_uai;adresse_uai;localite_acheminement_uai;code_postal_uai;x_L93_ref;y_L93_ref;x_WGS84_ref;y_WGS84_ref;latitude;longitude;result_housenumber;result_name;result_postcode;result_city;result_label;label
0;0681815D;52 AVENUE DE LA RÉPUBLIQUE BATBOULEVARD;COLMAR CEDEX;68017;1023799.2;6783795.4;7.3499509036506305;48.07424624390209;48.074246;7.349951;52;Avenue de la République;68000;Colmar;52 Avenue de la République 68000 Colmar;BATBOULEVARD
1;0421742R;14 PLACE GIRODET BATBOULEVARD;ST ETIENNE;42000;807914.2;6484115.5;4.380589476799199;45.44798788190568;45.448031;4.381022;14;Place Girodet;42000;Saint-Étienne;14 Place Girodet 42000 Saint-Étienne;BATBOULEVARD
2;0351762A;1 RUE LE GENTIL BATBOULEVARD;ST MALO;35400;332135.4;6849197.7;-1.9959792885538368;48.63818869901566;48.637963;-1.996228;1;Rue le Gentil;35400;Saint-Malo;1 Rue le Gentil 35400 Saint-Malo;BATBOULEVARD
3;0070940J;RUE DU QUAI BATBOULEVARD;GLUN;7300;844883.6;6436779.3;4.839299725074611;45.01506177895445;45.014997;4.83955;;Rue du Quai;7300;Glun;Rue du Quai 07300 Glun;BATBOULEVARD
4;0870594Y;RUE GEORGES-EMMANUEL CLANCIER BATBOULEVARD;AIXE SUR VIENNE;87700;555130.0;6523782.7;1.134787465702781;45.79826946480093;45.798269;1.134787;;Rue Georges Emmanuel Clancier;87700;Aixe-sur-Vienne;Rue Georges Emmanuel Clancier 87700 Aixe-sur-Vienne;BATBOULEVARD
5;0381179A;18 RUE DANIÈLE CASANOVA BATBOULEVARD;SALAISE SUR SANNE;38150;842523.4;6473223.7;4.820009629759012;45.34361662840659;45.343653;4.820183;18;Rue Danielle Casanova;38150;Salaise-sur-Sanne;18 Rue Danielle Casanova 38150 Salaise-sur-Sanne;BATBOULEVARD
6;0573620A;30 RUE RAYMOND MONDON BATBOULEVARD;RONCOURT;57860;921412.9;6904468.7;6.038470401532119;49.20159488701415;49.201741;6.038614;30;Rue Raymond Mondon;57860;Roncourt;30 Rue Raymond Mondon 57860 Roncourt;BATBOULEVARD
7;0601886Z;15 RUE DU MERLE BATBOULEVARD;NOYON;60400;699389.3;6942373.0;2.9915595377240005;49.58059100499727;49.580954;2.991832;15;Rue du Merle;60400;Noyon;15 Rue du Merle 60400 Noyon;BATBOULEVARD
8;0311695Z;6 RUE DE LA SARTHE BATBOULEVARD;TOULOUSE;31100;571827.1;6275907.9;1.413799948115106;43.57064715067767;43.570382;1.413696;6;Rue de la Sarthe;31100;Toulouse;6 Rue de la Sarthe 31100 Toulouse;BATBOULEVARD
9;0280287K;16 RUE DE LA MAIRIE BATBOULEVARD;FRESNAY LE COMTE;28360;587008.2;6801395.4;1.4761404978960715;48.303072034312095;48.302678;1.476029;16;Rue de la Mairie;28360;Fresnay-le-Comte;16 Rue de la Mairie 28360 Fresnay-le-Comte;BATBOULEVARD
