;numero_uai;adresse_uai;localite_acheminement_uai;code_postal_uai;x_L93_ref;y_L93_ref;x_WGS84_ref;y_WGS84_ref;latitude;longitude;result_housenumber;result_name;result_postcode;result_city;result_label;label
0;0681815D;ETAGE 52 AVENUE DE LA RÉPUBLIQUE;COLMAR CEDEX;68017;1023799.2;6783795.4;7.3499509036506305;48.07424624390209;48.074246;7.349951;52;Avenue de la République;68000.0;Colmar;52 Avenue de la République 68000 Colmar;ETAGE
1;0421742R;ETAGE 14 PLACE GIRODET;ST ETIENNE;42000;807914.2;6484115.5;4.380589476799199;45.44798788190568;45.448031;4.381022;14;Place Girodet;42000.0;Saint-Étienne;14 Place Girodet 42000 Saint-Étienne;ETAGE
2;0351762A;ETAGE 1 RUE LE GENTIL;ST MALO;35400;332135.4;6849197.7;-1.9959792885538368;48.63818869901566;48.637963;-1.996228;1;Rue le Gentil;35400.0;Saint-Malo;1 Rue le Gentil 35400 Saint-Malo;ETAGE
3;0070940J;ETAGE RUE DU QUAI;GLUN;7300;844883.6;6436779.3;4.839299725074611;45.01506177895445;45.014997;4.83955;;Rue du Quai;7300.0;Glun;Rue du Quai 07300 Glun;ETAGE
4;0870594Y;ETAGE RUE GEORGES-EMMANUEL CLANCIER;AIXE SUR VIENNE;87700;555130.0;6523782.7;1.134787465702781;45.79826946480093;45.798269;1.134787;;Rue Georges Emmanuel Clancier;87700.0;Aixe-sur-Vienne;Rue Georges Emmanuel Clancier 87700 Aixe-sur-Vienne;ETAGE
5;0381179A;ETAGE 18 RUE DANIÈLE CASANOVA;SALAISE SUR SANNE;38150;842523.4;6473223.7;4.820009629759012;45.34361662840659;45.343653;4.820183;18;Rue Danielle Casanova;38150.0;Salaise-sur-Sanne;18 Rue Danielle Casanova 38150 Salaise-sur-Sanne;ETAGE
6;0573620A;ETAGE 30 RUE RAYMOND MONDON;RONCOURT;57860;921412.9;6904468.7;6.038470401532119;49.20159488701415;49.201741;6.038614;30;Rue Raymond Mondon;57860.0;Roncourt;30 Rue Raymond Mondon 57860 Roncourt;ETAGE
7;0601886Z;ETAGE 15 RUE DU MERLE;NOYON;60400;699389.3;6942373.0;2.9915595377240005;49.58059100499727;49.580954;2.991832;15;Rue du Merle;60400.0;Noyon;15 Rue du Merle 60400 Noyon;ETAGE
8;0311695Z;ETAGE 6 RUE DE LA SARTHE;TOULOUSE;31100;571827.1;6275907.9;1.413799948115106;43.57064715067767;43.570382;1.413696;6;Rue de la Sarthe;31100.0;Toulouse;6 Rue de la Sarthe 31100 Toulouse;ETAGE
9;0280287K;ETAGE 16 RUE DE LA MAIRIE;FRESNAY LE COMTE;28360;587008.2;6801395.4;1.4761404978960715;48.303072034312095;48.302678;1.476029;16;Rue de la Mairie;28360.0;Fresnay-le-Comte;16 Rue de la Mairie 28360 Fresnay-le-Comte;ETAGE
10;0681786X;ETAGE 6 RUE SCHAEDELIN;COLMAR;68000;1022836.2;6784607.3;7.337638469563873;48.08201766761589;48.082018;7.337639;6;Rue Henri Schaedelin;68000.0;Colmar;6 Rue Henri Schaedelin 68000 Colmar;ETAGE
11;0711874B;ETAGE 16 RUE GUILLEMINOT;DIGOIN;71160;775131.5;6598209.9;3.979341354474461;46.4796856806796;46.479686;3.979341;16;Rue Julien Marius Guilleminot;71160.0;Digoin;16 Rue Julien Marius Guilleminot 71160 Digoin;ETAGE
12;0290900W;ETAGE RUE JEAN MOULIN;LE RELECQ KERHUON;29480;153471.3;6837764.6;-4.396030668603512;48.40964439690782;48.411156;-4.404485;;rue Jean Mermoz;29480.0;Le Relecq-Kerhuon;rue Jean Mermoz 29480 Le Relecq-Kerhuon;ETAGE
13;0830836H;ETAGE AVENUE DU COLLÈGE;CARQUEIRANNE;83320;950360.3;6226374.0;6.073316526897296;43.09279378450591;43.092794;6.073316;;Avenue du Collège;83320.0;Carqueiranne;Avenue du Collège 83320 Carqueiranne;ETAGE
14;0010378F;ETAGE ROUTE DE MONTHIEUX;ST MARCEL;1390;853713.2;6540774.7;4.984520146764946;45.949294640072914;45.950667;4.982385;;Route de Monthieux;1390.0;Saint-Marcel;Route de Monthieux 01390 Saint-Marcel;ETAGE
15;0521091D;ETAGE 3 RUE DE LA MAIRIE;HUMES JORQUENAY;52200;871892.2;6758475.4;5.300979439353384;47.90413013901955;47.904027;5.300926;3;Rue de la Mairie;52200.0;Humes-Jorquenay;3 Rue de la Mairie 52200 Humes-Jorquenay;ETAGE
16;0381585S;ETAGE 2 PLACE DE LA MAIRIE;ST CLAIR DE LA TOUR;38110;893154.0;6500129.0;5.47696457252294;45.573397463792816;45.573327;5.479069;;Place de la Mairie;38110.0;Saint-Clair-de-la-Tour;Place de la Mairie 38110 Saint-Clair-de-la-Tour;ETAGE
17;0050012L;ETAGE 127 ROUTE DE VALSERRES;GAP;5000;945520.5;6387205.4;6.091216108562817;44.54066308546264;44.540663;6.091216;127;Route de Valserres;5000.0;Gap;127 Route de Valserres 05000 Gap;ETAGE
18;0331071K;ETAGE 22 LOTISSEMENT BOIS D'ISAAC;LA ROQUILLE;33220;481106.7;6413764.3;0.2320255976930499;44.788493863318486;44.78797;0.231353;;Lotissement Bois d’Isaac;33220.0;La Roquille;Lotissement Bois d’Isaac 33220 La Roquille;ETAGE
19;0831186N;ETAGE 10 BOULEVARD PASTEUR;HYERES CEDEX;83409;955198.9;6229603.2;6.13422397598725;43.12010544744189;43.120105;6.134224;10;Boulevard Pasteur;83400.0;Hyères;10 Boulevard Pasteur 83400 Hyères;ETAGE
20;0170027M;ETAGE RUE HENRI BARBUSSE;LA ROCHELLE;17000;380819.3;6570169.5;-1.13777998241965;46.15606302712792;46.166422;-1.19693;;Rue Henri Basse;17000.0;La Rochelle;Rue Henri Basse 17000 La Rochelle;ETAGE
21;0570377A;ETAGE 37 PLACE DE L'EGLISE;MITTERSHEIM;57930;989107.4;6869734.1;6.942299323191492;48.86267303558466;48.862591;6.942178;37;Rue de l’Eglise;57930.0;Mittersheim;37 Rue de l’Eglise 57930 Mittersheim;ETAGE
22;0352324L;ETAGE 1 AVENUE DU CLOS JOURY;LE RHEU;35650;342921.3;6788709.4;-1.7999904726430676;48.10105018297311;48.101049;-1.800985;;Avenue du Clos Joury;35650.0;Le Rheu;Avenue du Clos Joury 35650 Le Rheu;ETAGE
23;0600586L;ETAGE 23 RUE DE L'EGLISE;ROSOY;60140;663456.2;6915845.6;2.49727055039268;49.34112313208002;49.34111;2.497148;23;Rue de l'Eglise;60140.0;Rosoy;23 Rue de l'Eglise 60140 Rosoy;ETAGE
24;0340883A;ETAGE 2958  AVENUE DES MOULINS;MONTPELLIER;34080;767021.0;6280149.9;3.830049410449457;43.61722907393701;43.616057;3.830161;2958;Avenue des Moulins;34080.0;Montpellier;2958 Avenue des Moulins 34080 Montpellier;ETAGE
